model,timestamp,java_cpu,java_mem_MB,flask_cpu,flask_mem_MB
Qwen/Qwen2.5-Coder-1.5B-Instruct,17.18,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,17.48,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,17.78,0.00,647.59,409.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.08,0.00,647.59,409.60,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.39,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.69,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,18.99,0.00,647.59,389.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,19.29,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,19.59,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,19.89,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,20.19,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,20.49,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,20.80,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,21.10,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,21.40,0.00,647.59,389.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,21.70,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.00,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.30,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.60,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,22.90,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,23.21,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,23.51,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,23.81,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,24.11,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,24.41,0.00,647.59,399.40,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,24.71,0.00,647.59,409.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.01,0.00,647.59,389.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.31,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.62,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,25.92,0.00,647.59,399.00,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,26.22,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,26.52,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,26.82,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,27.12,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,27.42,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,27.72,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,28.03,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,28.33,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,28.63,0.00,647.59,399.40,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,28.93,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,29.23,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,29.53,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,29.83,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,30.13,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,30.43,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,30.74,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,31.04,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,31.34,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,31.64,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,31.94,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,32.24,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,32.54,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,32.84,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,33.15,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,33.45,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,33.75,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,34.05,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,34.35,0.00,647.59,399.40,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,34.65,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,34.95,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,35.25,0.00,647.59,389.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,35.56,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,35.86,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,36.16,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,36.46,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,36.76,0.00,647.59,389.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,37.06,0.00,647.59,409.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,37.36,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,37.66,0.00,647.59,409.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,37.97,0.00,647.59,399.30,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,38.27,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,38.57,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,38.87,0.00,647.59,389.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,39.17,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,39.47,0.00,647.59,409.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,39.77,0.00,647.59,399.10,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,40.07,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,40.38,0.00,647.59,399.20,3948.64
Qwen/Qwen2.5-Coder-1.5B-Instruct,40.68,0.00,647.59,289.40,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,40.98,99.70,748.59,0.00,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,41.28,109.70,964.71,0.00,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,41.58,89.80,1142.21,0.00,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,41.88,129.70,1142.84,0.00,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,42.18,109.70,1143.09,0.00,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,42.48,119.70,1143.21,0.00,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,42.78,99.70,1143.21,99.70,3948.89
Qwen/Qwen2.5-Coder-1.5B-Instruct,43.09,0.00,1143.21,389.30,4000.52
Qwen/Qwen2.5-Coder-1.5B-Instruct,43.39,0.00,1143.21,399.30,4031.75
Qwen/Qwen2.5-Coder-1.5B-Instruct,43.69,0.00,1143.21,399.20,4008.27
Qwen/Qwen2.5-Coder-1.5B-Instruct,43.99,0.00,1143.21,399.30,4015.97
Qwen/Qwen2.5-Coder-1.5B-Instruct,44.29,0.00,1143.21,399.30,4020.35
Qwen/Qwen2.5-Coder-1.5B-Instruct,44.59,0.00,1143.21,399.30,4026.12
Qwen/Qwen2.5-Coder-1.5B-Instruct,44.89,0.00,1143.21,399.30,4032.70
Qwen/Qwen2.5-Coder-1.5B-Instruct,45.19,0.00,1143.21,399.30,4020.45
Qwen/Qwen2.5-Coder-1.5B-Instruct,45.49,0.00,1143.21,399.50,4032.22
Qwen/Qwen2.5-Coder-1.5B-Instruct,45.80,0.00,1143.21,409.40,4020.16
Qwen/Qwen2.5-Coder-1.5B-Instruct,46.10,0.00,1143.21,399.30,4014.06
Qwen/Qwen2.5-Coder-1.5B-Instruct,46.40,0.00,1143.21,399.60,4030.39
Qwen/Qwen2.5-Coder-1.5B-Instruct,46.70,0.00,1143.21,399.30,4020.39
Qwen/Qwen2.5-Coder-1.5B-Instruct,47.00,0.00,1143.21,409.40,4032.66
Qwen/Qwen2.5-Coder-1.5B-Instruct,47.30,0.00,1143.21,399.50,4044.54
Qwen/Qwen2.5-Coder-1.5B-Instruct,47.60,0.00,1143.21,399.50,4008.20
Qwen/Qwen2.5-Coder-1.5B-Instruct,47.90,0.00,1143.21,409.40,4030.02
Qwen/Qwen2.5-Coder-1.5B-Instruct,48.20,0.00,1143.21,399.50,4008.23
Qwen/Qwen2.5-Coder-1.5B-Instruct,48.50,0.00,1143.21,399.40,4029.23
Qwen/Qwen2.5-Coder-1.5B-Instruct,48.81,0.00,1143.21,399.30,4032.68
Qwen/Qwen2.5-Coder-1.5B-Instruct,49.11,0.00,1143.21,399.30,4008.40
Qwen/Qwen2.5-Coder-1.5B-Instruct,49.41,0.00,1143.21,399.30,4032.65
Qwen/Qwen2.5-Coder-1.5B-Instruct,49.71,0.00,1143.21,399.30,4044.66
Qwen/Qwen2.5-Coder-1.5B-Instruct,50.01,0.00,1143.21,409.30,4014.06
Qwen/Qwen2.5-Coder-1.5B-Instruct,50.31,0.00,1143.21,409.30,4041.88
Qwen/Qwen2.5-Coder-1.5B-Instruct,50.61,0.00,1143.21,399.30,4044.51
Qwen/Qwen2.5-Coder-1.5B-Instruct,50.91,0.00,1143.21,399.30,4032.54
Qwen/Qwen2.5-Coder-1.5B-Instruct,51.21,0.00,1143.21,399.40,4032.63
Qwen/Qwen2.5-Coder-1.5B-Instruct,51.52,0.00,1143.21,399.30,4008.18
Qwen/Qwen2.5-Coder-1.5B-Instruct,51.82,0.00,1143.21,399.30,4018.07
Qwen/Qwen2.5-Coder-1.5B-Instruct,52.12,10.00,1143.21,399.40,4044.57
Qwen/Qwen2.5-Coder-1.5B-Instruct,52.42,0.00,1143.21,399.30,4028.53
Qwen/Qwen2.5-Coder-1.5B-Instruct,52.72,0.00,1143.21,389.40,4032.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,53.02,0.00,1143.21,399.40,4008.19
Qwen/Qwen2.5-Coder-1.5B-Instruct,53.32,0.00,1143.21,399.30,4032.19
Qwen/Qwen2.5-Coder-1.5B-Instruct,53.62,0.00,1143.21,409.30,4044.58
Qwen/Qwen2.5-Coder-1.5B-Instruct,53.92,0.00,1143.21,389.40,4016.91
Qwen/Qwen2.5-Coder-1.5B-Instruct,54.22,0.00,1143.21,399.30,4044.36
Qwen/Qwen2.5-Coder-1.5B-Instruct,54.53,0.00,1143.21,399.10,4044.36
Qwen/Qwen2.5-Coder-1.5B-Instruct,54.83,0.00,1143.21,389.30,4032.39
Qwen/Qwen2.5-Coder-1.5B-Instruct,55.13,0.00,1143.21,389.40,4044.46
Qwen/Qwen2.5-Coder-1.5B-Instruct,55.43,0.00,1143.21,389.40,4008.12
Qwen/Qwen2.5-Coder-1.5B-Instruct,55.73,0.00,1143.21,389.30,4031.44
Qwen/Qwen2.5-Coder-1.5B-Instruct,56.03,0.00,1143.21,399.30,4044.44
Qwen/Qwen2.5-Coder-1.5B-Instruct,56.33,0.00,1143.21,399.30,4028.52
Qwen/Qwen2.5-Coder-1.5B-Instruct,56.63,0.00,1143.21,409.30,4044.35
Qwen/Qwen2.5-Coder-1.5B-Instruct,56.93,0.00,1143.21,399.30,4008.00
Qwen/Qwen2.5-Coder-1.5B-Instruct,57.23,0.00,1143.21,409.30,4032.50
Qwen/Qwen2.5-Coder-1.5B-Instruct,57.54,0.00,1143.21,399.30,4044.57
Qwen/Qwen2.5-Coder-1.5B-Instruct,57.84,0.00,1143.21,389.40,4014.60
Qwen/Qwen2.5-Coder-1.5B-Instruct,58.14,0.00,1143.21,399.30,4042.43
Qwen/Qwen2.5-Coder-1.5B-Instruct,58.44,0.00,1143.21,409.30,4044.43
Qwen/Qwen2.5-Coder-1.5B-Instruct,58.74,0.00,1143.21,399.30,4032.45
Qwen/Qwen2.5-Coder-1.5B-Instruct,59.04,0.00,1143.21,409.50,4044.53
Qwen/Qwen2.5-Coder-1.5B-Instruct,59.34,0.00,1143.21,409.50,4008.18
Qwen/Qwen2.5-Coder-1.5B-Instruct,59.64,0.00,1143.21,409.70,4053.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,59.94,0.00,1143.21,399.60,4068.66
Qwen/Qwen2.5-Coder-1.5B-Instruct,60.24,0.00,1143.21,399.30,4068.66
Qwen/Qwen2.5-Coder-1.5B-Instruct,60.55,0.00,1143.21,399.30,4092.66
Qwen/Qwen2.5-Coder-1.5B-Instruct,60.85,0.00,1143.21,399.30,4068.68
Qwen/Qwen2.5-Coder-1.5B-Instruct,61.15,0.00,1143.21,399.30,4068.68
Qwen/Qwen2.5-Coder-1.5B-Instruct,61.45,10.00,1143.21,399.30,4068.63
Qwen/Qwen2.5-Coder-1.5B-Instruct,61.75,0.00,1143.21,399.30,4068.63
Qwen/Qwen2.5-Coder-1.5B-Instruct,62.05,0.00,1143.21,399.30,4092.63
Qwen/Qwen2.5-Coder-1.5B-Instruct,62.35,0.00,1143.21,389.30,4068.72
Qwen/Qwen2.5-Coder-1.5B-Instruct,62.65,0.00,1143.21,389.30,4068.72
Qwen/Qwen2.5-Coder-1.5B-Instruct,62.95,0.00,1143.21,389.30,4068.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,63.26,0.00,1143.21,389.30,4068.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,63.56,0.00,1143.21,389.40,4068.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,63.86,0.00,1143.21,389.30,4068.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,64.16,0.00,1143.21,399.30,4068.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,64.46,0.00,1143.21,399.30,4092.55
Qwen/Qwen2.5-Coder-1.5B-Instruct,64.76,0.00,1143.21,399.60,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,65.06,0.00,1143.21,399.10,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,65.36,0.00,1143.21,399.10,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,65.66,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,65.97,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,66.27,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,66.57,0.00,1143.21,389.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,66.87,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,67.17,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,67.47,0.00,1143.21,389.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,67.77,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,68.07,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,68.38,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,68.68,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,68.98,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,69.28,0.00,1143.21,389.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,69.58,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,69.88,0.00,1143.21,399.10,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,70.18,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,70.48,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,70.79,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,71.09,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,71.39,0.00,1143.21,399.10,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,71.69,0.00,1143.21,409.10,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,71.99,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,72.29,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,72.59,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,72.89,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,73.19,0.00,1143.21,389.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,73.50,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,73.80,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,74.10,0.00,1143.21,409.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,74.40,0.00,1143.21,399.10,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,74.70,0.00,1143.21,389.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,75.00,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,75.30,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,75.60,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,75.90,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,76.21,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,76.51,0.00,1143.21,389.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,76.81,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,77.11,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,77.41,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,77.71,0.00,1143.21,389.10,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,78.01,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,78.31,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,78.62,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,78.92,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,79.22,0.00,1143.21,399.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,79.52,0.00,1143.21,389.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,79.82,10.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,80.12,0.00,1143.21,409.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,80.42,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,80.72,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,81.03,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,81.33,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,81.63,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,81.93,0.00,1143.21,389.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,82.23,0.00,1143.21,389.30,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,82.53,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,82.83,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,83.13,0.00,1143.21,399.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,83.44,0.00,1143.21,409.20,4068.62
Qwen/Qwen2.5-Coder-1.5B-Instruct,83.74,0.00,1143.21,399.20,4068.62
