model,timestamp,java_cpu,java_mem_MB,flask_cpu,flask_mem_MB
google/gemma-2-2b-it,23.54,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,23.84,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,24.14,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,24.44,0.00,569.94,389.20,11165.74
google/gemma-2-2b-it,24.74,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,25.05,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,25.35,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,25.65,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,25.95,0.00,569.94,389.30,11165.74
google/gemma-2-2b-it,26.25,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,26.55,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,26.85,0.00,569.94,389.20,11165.74
google/gemma-2-2b-it,27.15,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,27.46,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,27.76,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,28.06,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,28.36,0.00,569.94,409.20,11165.74
google/gemma-2-2b-it,28.66,0.00,569.94,389.00,11165.74
google/gemma-2-2b-it,28.96,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,29.26,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,29.57,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,29.87,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,30.17,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,30.47,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,30.77,0.00,569.94,389.30,11165.74
google/gemma-2-2b-it,31.07,0.00,569.94,409.10,11165.74
google/gemma-2-2b-it,31.37,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,31.68,0.00,569.94,389.30,11165.74
google/gemma-2-2b-it,31.98,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,32.28,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,32.58,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,32.88,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,33.18,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,33.48,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,33.79,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,34.09,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,34.39,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,34.69,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,34.99,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,35.29,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,35.59,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,35.90,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,36.20,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,36.50,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,36.80,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,37.10,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,37.40,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,37.70,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,38.01,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,38.31,0.00,569.94,409.10,11165.74
google/gemma-2-2b-it,38.61,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,38.91,0.00,569.94,389.20,11165.74
google/gemma-2-2b-it,39.21,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,39.51,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,39.81,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,40.12,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,40.42,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,40.72,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,41.02,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,41.32,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,41.62,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,41.92,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,42.22,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,42.53,0.00,569.94,389.20,11165.74
google/gemma-2-2b-it,42.83,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,43.13,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,43.43,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,43.73,0.00,569.94,399.30,11165.74
google/gemma-2-2b-it,44.03,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,44.33,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,44.64,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,44.94,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,45.24,10.00,569.94,399.10,11165.74
google/gemma-2-2b-it,45.54,0.00,569.94,389.30,11165.74
google/gemma-2-2b-it,45.84,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,46.14,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,46.44,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,46.75,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,47.05,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,47.35,0.00,569.94,389.30,11165.74
google/gemma-2-2b-it,47.65,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,47.95,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,48.25,0.00,569.94,389.20,11165.74
google/gemma-2-2b-it,48.55,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,48.86,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,49.16,0.00,569.94,409.00,11165.74
google/gemma-2-2b-it,49.46,0.00,569.94,399.40,11165.74
google/gemma-2-2b-it,49.76,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,50.06,0.00,569.94,399.10,11165.74
google/gemma-2-2b-it,50.36,0.00,569.94,389.10,11165.74
google/gemma-2-2b-it,50.66,0.00,569.94,399.20,11165.74
google/gemma-2-2b-it,50.96,0.00,569.94,399.00,11165.74
google/gemma-2-2b-it,51.27,0.00,573.75,20.00,11075.10
google/gemma-2-2b-it,51.57,99.80,697.44,0.00,11075.10
google/gemma-2-2b-it,51.87,99.80,910.07,0.00,11075.10
google/gemma-2-2b-it,52.17,109.80,1065.07,0.00,11075.10
google/gemma-2-2b-it,52.47,149.60,1065.32,0.00,11075.10
google/gemma-2-2b-it,52.77,399.10,1065.57,0.00,11075.10
google/gemma-2-2b-it,53.07,119.80,1065.70,0.00,11075.10
google/gemma-2-2b-it,53.37,279.30,1065.82,69.80,11075.10
google/gemma-2-2b-it,53.67,0.00,1065.99,379.30,11235.97
google/gemma-2-2b-it,53.98,0.00,1065.99,379.40,11112.60
google/gemma-2-2b-it,54.29,0.00,939.12,389.30,11211.97
google/gemma-2-2b-it,54.59,0.00,876.37,377.70,11029.60
google/gemma-2-2b-it,54.89,0.00,876.37,369.40,10844.47
google/gemma-2-2b-it,55.19,39.90,876.87,339.40,10712.93
google/gemma-2-2b-it,55.49,0.00,876.87,389.30,10553.48
google/gemma-2-2b-it,55.79,0.00,876.87,389.30,10497.18
google/gemma-2-2b-it,56.09,0.00,876.87,399.20,10498.84
google/gemma-2-2b-it,56.39,0.00,876.87,399.30,10441.36
google/gemma-2-2b-it,56.69,0.00,876.87,389.40,10358.18
google/gemma-2-2b-it,57.00,0.00,876.87,399.30,10356.04
google/gemma-2-2b-it,57.30,0.00,876.87,389.30,10311.23
google/gemma-2-2b-it,57.60,0.00,876.87,399.30,10330.64
google/gemma-2-2b-it,57.90,0.00,876.87,389.30,10255.37
google/gemma-2-2b-it,58.20,0.00,876.87,389.40,10203.95
google/gemma-2-2b-it,58.50,0.00,876.87,399.30,10204.36
google/gemma-2-2b-it,58.80,0.00,876.87,399.20,10212.92
google/gemma-2-2b-it,59.10,0.00,876.87,399.20,10256.47
google/gemma-2-2b-it,59.40,0.00,876.87,399.30,10242.69
google/gemma-2-2b-it,59.71,0.00,876.87,389.30,10175.14
google/gemma-2-2b-it,60.01,0.00,876.87,389.30,10162.05
google/gemma-2-2b-it,60.31,0.00,876.87,399.20,10116.72
google/gemma-2-2b-it,60.61,10.00,876.87,399.50,10167.62
google/gemma-2-2b-it,60.91,0.00,876.87,399.30,10143.58
google/gemma-2-2b-it,61.21,0.00,876.87,399.30,10091.66
google/gemma-2-2b-it,61.51,0.00,876.87,389.30,10098.32
google/gemma-2-2b-it,61.81,0.00,876.87,389.20,10052.71
google/gemma-2-2b-it,62.11,0.00,876.87,399.20,10144.19
google/gemma-2-2b-it,62.42,0.00,876.87,399.30,10080.45
google/gemma-2-2b-it,62.72,0.00,876.87,399.30,10012.90
google/gemma-2-2b-it,63.02,0.00,876.87,399.30,10042.57
google/gemma-2-2b-it,63.32,0.00,876.87,409.30,10051.02
google/gemma-2-2b-it,63.62,0.00,876.87,389.40,10064.27
google/gemma-2-2b-it,63.92,0.00,876.87,399.30,10008.31
google/gemma-2-2b-it,64.22,0.00,876.87,409.30,9913.91
google/gemma-2-2b-it,64.52,0.00,876.87,389.30,9943.31
google/gemma-2-2b-it,64.82,0.00,876.87,399.30,9951.74
google/gemma-2-2b-it,65.13,0.00,876.87,399.30,9983.24
google/gemma-2-2b-it,65.43,0.00,876.87,399.30,9989.92
google/gemma-2-2b-it,65.73,0.00,876.87,389.30,9983.34
google/gemma-2-2b-it,66.03,0.00,876.87,409.30,9980.30
google/gemma-2-2b-it,66.33,0.00,876.87,389.30,9913.66
google/gemma-2-2b-it,66.63,0.00,876.87,389.30,9907.09
google/gemma-2-2b-it,66.93,0.00,876.87,389.30,9899.58
google/gemma-2-2b-it,67.23,0.00,876.87,399.20,9895.37
google/gemma-2-2b-it,67.53,0.00,876.87,389.30,9882.44
google/gemma-2-2b-it,67.83,0.00,876.87,399.30,9815.01
google/gemma-2-2b-it,68.14,0.00,876.87,399.30,9844.31
google/gemma-2-2b-it,68.44,0.00,876.87,389.30,9852.88
google/gemma-2-2b-it,68.74,0.00,876.87,399.40,9884.47
google/gemma-2-2b-it,69.04,0.00,876.87,389.30,9890.87
google/gemma-2-2b-it,69.34,0.00,876.87,389.30,9895.20
google/gemma-2-2b-it,69.64,0.00,876.87,399.30,9887.92
google/gemma-2-2b-it,69.94,0.00,876.87,409.20,9815.02
google/gemma-2-2b-it,70.24,0.00,876.87,389.40,9844.60
google/gemma-2-2b-it,70.54,0.00,876.87,389.30,9853.07
google/gemma-2-2b-it,70.84,0.00,876.87,389.40,9884.46
google/gemma-2-2b-it,71.15,0.00,876.87,409.20,9882.61
google/gemma-2-2b-it,71.45,0.00,876.87,399.30,9834.81
google/gemma-2-2b-it,71.75,0.00,876.87,389.30,9802.25
google/gemma-2-2b-it,72.05,0.00,876.87,399.30,9755.93
google/gemma-2-2b-it,72.35,0.00,876.87,389.30,9785.82
google/gemma-2-2b-it,72.65,0.00,876.87,399.00,9788.24
google/gemma-2-2b-it,72.95,0.00,876.87,399.30,9775.69
google/gemma-2-2b-it,73.25,0.00,876.87,399.30,9768.60
google/gemma-2-2b-it,73.55,0.00,876.87,389.40,9716.36
google/gemma-2-2b-it,73.86,0.00,876.87,399.40,9745.78
google/gemma-2-2b-it,74.16,0.00,876.87,409.30,9754.46
google/gemma-2-2b-it,74.46,0.00,876.87,399.30,10116.82
google/gemma-2-2b-it,74.76,0.00,876.87,389.20,10608.20
google/gemma-2-2b-it,75.06,0.00,876.87,373.60,10843.45
google/gemma-2-2b-it,75.36,0.00,876.87,359.40,10884.45
google/gemma-2-2b-it,75.66,0.00,876.87,389.30,11158.57
google/gemma-2-2b-it,75.96,0.00,876.87,389.20,11179.57
google/gemma-2-2b-it,76.27,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,76.57,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,76.87,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,77.17,0.00,876.87,398.90,11220.45
google/gemma-2-2b-it,77.47,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,77.77,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,78.07,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,78.38,0.00,876.87,389.20,11220.45
google/gemma-2-2b-it,78.68,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,78.98,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,79.28,0.00,876.87,389.20,11220.45
google/gemma-2-2b-it,79.58,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,79.88,0.00,876.87,409.30,11220.45
google/gemma-2-2b-it,80.18,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,80.49,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,80.79,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,81.09,0.00,876.87,389.10,11220.45
google/gemma-2-2b-it,81.39,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,81.69,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,81.99,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,82.29,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,82.59,0.00,876.87,389.00,11220.45
google/gemma-2-2b-it,82.90,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,83.20,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,83.50,0.00,876.87,409.00,11220.45
google/gemma-2-2b-it,83.80,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,84.10,0.00,876.87,389.20,11220.45
google/gemma-2-2b-it,84.40,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,84.70,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,85.01,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,85.31,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,85.61,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,85.91,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,86.21,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,86.51,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,86.81,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,87.11,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,87.42,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,87.72,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,88.02,0.00,876.87,409.00,11220.45
google/gemma-2-2b-it,88.32,0.00,876.87,389.30,11220.45
google/gemma-2-2b-it,88.62,0.00,876.87,389.10,11220.45
google/gemma-2-2b-it,88.92,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,89.22,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,89.53,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,89.83,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,90.13,0.00,876.87,389.30,11220.45
google/gemma-2-2b-it,90.43,0.00,876.87,409.00,11220.45
google/gemma-2-2b-it,90.73,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,91.03,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,91.33,0.00,876.87,389.20,11220.45
google/gemma-2-2b-it,91.64,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,91.94,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,92.24,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,92.54,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,92.84,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,93.14,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,93.44,0.00,876.87,388.80,11220.45
google/gemma-2-2b-it,93.74,0.00,876.87,409.10,11220.45
google/gemma-2-2b-it,94.05,0.00,876.87,389.00,11220.45
google/gemma-2-2b-it,94.35,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,94.65,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,94.95,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,95.25,0.00,876.87,389.10,11220.45
google/gemma-2-2b-it,95.55,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,95.85,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,96.16,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,96.46,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,96.76,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,97.06,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,97.36,0.00,876.87,399.50,11220.45
google/gemma-2-2b-it,97.66,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,97.96,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,98.26,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,98.57,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,98.87,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,99.17,0.00,876.87,389.30,11220.45
google/gemma-2-2b-it,99.47,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,99.77,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,100.07,0.00,876.87,398.80,11220.45
google/gemma-2-2b-it,100.37,0.00,876.87,389.10,11220.45
google/gemma-2-2b-it,100.67,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,100.98,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,101.28,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,101.58,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,101.88,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,102.18,0.00,876.87,389.20,11220.45
google/gemma-2-2b-it,102.48,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,102.78,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,103.09,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,103.39,10.00,876.87,399.00,11220.45
google/gemma-2-2b-it,103.69,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,103.99,0.00,876.87,409.00,11220.45
google/gemma-2-2b-it,104.29,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,104.59,0.00,876.87,389.30,11220.45
google/gemma-2-2b-it,104.89,0.00,876.87,399.30,11220.45
google/gemma-2-2b-it,105.19,0.00,876.87,409.20,11220.45
google/gemma-2-2b-it,105.50,0.00,876.87,389.10,11220.45
google/gemma-2-2b-it,105.80,0.00,876.87,389.30,11220.45
google/gemma-2-2b-it,106.10,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,106.40,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,106.70,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,107.00,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,107.30,0.00,876.87,398.80,11220.45
google/gemma-2-2b-it,107.61,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,107.91,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,108.21,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,108.51,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,108.81,0.00,876.87,399.20,11220.45
google/gemma-2-2b-it,109.11,0.00,876.87,399.00,11220.45
google/gemma-2-2b-it,109.41,0.00,876.87,389.30,11220.45
google/gemma-2-2b-it,109.72,0.00,876.87,409.00,11220.45
google/gemma-2-2b-it,110.02,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,110.32,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,110.62,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,110.92,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,111.22,0.00,876.87,389.10,11220.45
google/gemma-2-2b-it,111.52,0.00,876.87,399.10,11220.45
google/gemma-2-2b-it,111.83,0.00,876.87,409.10,11220.45
google/gemma-2-2b-it,112.13,0.00,876.87,379.10,11211.32
google/gemma-2-2b-it,112.43,0.00,876.87,389.30,11161.82
google/gemma-2-2b-it,112.73,0.00,876.87,399.20,11209.32
google/gemma-2-2b-it,113.03,0.00,876.87,389.10,11190.82
google/gemma-2-2b-it,113.33,0.00,876.99,399.20,11209.57
google/gemma-2-2b-it,113.63,0.00,876.99,399.10,11220.82
google/gemma-2-2b-it,113.94,0.00,876.99,399.10,11220.82
google/gemma-2-2b-it,114.24,0.00,876.99,398.80,11216.95
google/gemma-2-2b-it,114.54,0.00,876.99,389.10,11184.20
google/gemma-2-2b-it,114.84,0.00,876.99,399.30,11202.70
google/gemma-2-2b-it,115.14,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,115.44,0.00,876.99,409.00,11220.70
google/gemma-2-2b-it,115.74,0.00,876.99,399.30,11220.70
google/gemma-2-2b-it,116.05,0.00,876.99,389.10,11177.20
google/gemma-2-2b-it,116.35,0.00,876.99,399.00,11186.70
google/gemma-2-2b-it,116.65,0.00,876.99,389.10,11220.70
google/gemma-2-2b-it,116.95,0.00,876.99,389.20,11220.70
google/gemma-2-2b-it,117.25,0.00,876.99,409.20,11220.70
google/gemma-2-2b-it,117.55,10.00,876.99,399.40,11220.70
google/gemma-2-2b-it,117.85,0.00,876.99,399.30,11220.70
google/gemma-2-2b-it,118.16,0.00,876.99,389.30,11220.70
google/gemma-2-2b-it,118.46,0.00,876.99,409.00,11220.70
google/gemma-2-2b-it,118.76,0.00,876.99,389.20,11220.70
google/gemma-2-2b-it,119.06,0.00,876.99,399.20,11220.70
google/gemma-2-2b-it,119.36,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,119.66,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,119.96,0.00,876.99,409.10,11220.70
google/gemma-2-2b-it,120.27,0.00,876.99,389.10,11220.70
google/gemma-2-2b-it,120.57,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,120.87,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,121.17,0.00,876.99,398.70,11220.70
google/gemma-2-2b-it,121.47,0.00,876.99,399.20,11220.70
google/gemma-2-2b-it,121.77,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,122.07,0.00,876.99,389.20,11220.70
google/gemma-2-2b-it,122.38,0.00,876.99,399.10,11220.70
google/gemma-2-2b-it,122.68,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,122.98,0.00,876.99,389.30,11220.70
google/gemma-2-2b-it,123.28,0.00,876.99,389.10,11220.70
google/gemma-2-2b-it,123.58,0.00,876.99,389.40,11220.70
google/gemma-2-2b-it,123.88,0.00,876.99,409.00,11220.70
google/gemma-2-2b-it,124.18,0.00,876.99,399.10,11220.70
google/gemma-2-2b-it,124.48,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,124.79,0.00,876.99,399.40,11220.70
google/gemma-2-2b-it,125.09,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,125.39,0.00,876.99,389.20,11220.70
google/gemma-2-2b-it,125.69,0.00,876.99,389.10,11220.70
google/gemma-2-2b-it,125.99,0.00,876.99,409.00,11220.70
google/gemma-2-2b-it,126.29,0.00,876.99,399.20,11220.70
google/gemma-2-2b-it,126.59,0.00,876.99,409.10,11220.70
google/gemma-2-2b-it,126.90,0.00,876.99,399.20,11220.70
google/gemma-2-2b-it,127.20,0.00,876.99,389.00,11220.70
google/gemma-2-2b-it,127.50,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,127.80,0.00,876.99,388.70,11220.70
google/gemma-2-2b-it,128.10,0.00,876.99,399.20,11220.70
google/gemma-2-2b-it,128.40,10.00,876.99,409.00,11220.70
google/gemma-2-2b-it,128.70,0.00,876.99,399.40,11220.70
google/gemma-2-2b-it,129.01,0.00,876.99,389.00,11220.70
google/gemma-2-2b-it,129.31,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,129.61,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,129.91,0.00,876.99,389.00,11220.70
google/gemma-2-2b-it,130.21,0.00,876.99,399.10,11220.70
google/gemma-2-2b-it,130.51,0.00,876.99,399.20,11220.70
google/gemma-2-2b-it,130.82,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,131.12,0.00,876.99,389.00,11220.70
google/gemma-2-2b-it,131.42,0.00,876.99,399.20,11220.70
google/gemma-2-2b-it,131.72,0.00,876.99,398.90,11220.70
google/gemma-2-2b-it,132.02,0.00,876.99,399.00,11220.70
google/gemma-2-2b-it,132.32,89.80,892.37,0.00,11189.45
google/gemma-2-2b-it,132.62,99.70,894.99,0.00,11122.32
google/gemma-2-2b-it,132.93,99.80,896.62,0.00,11122.32
google/gemma-2-2b-it,133.23,89.70,901.24,0.00,11122.32
google/gemma-2-2b-it,133.53,109.70,903.12,0.00,11121.95
google/gemma-2-2b-it,133.83,109.70,948.37,0.00,11042.07
google/gemma-2-2b-it,134.13,49.90,979.87,0.00,10968.70
google/gemma-2-2b-it,134.43,0.00,992.37,0.00,10907.45
google/gemma-2-2b-it,134.73,109.70,1101.40,0.00,10907.45
google/gemma-2-2b-it,135.03,99.70,1153.82,0.00,10907.45
google/gemma-2-2b-it,135.33,89.80,1154.09,0.00,10907.45
google/gemma-2-2b-it,135.64,0.00,1154.98,89.80,11029.45
google/gemma-2-2b-it,135.94,0.00,1154.98,399.30,11043.74
google/gemma-2-2b-it,136.24,0.00,1154.98,389.30,11080.23
google/gemma-2-2b-it,136.54,0.00,1154.98,399.30,11082.18
google/gemma-2-2b-it,136.84,0.00,1154.98,399.30,11046.14
google/gemma-2-2b-it,137.14,0.00,1154.98,399.30,11046.33
google/gemma-2-2b-it,137.44,0.00,1154.98,399.30,11046.15
google/gemma-2-2b-it,137.74,0.00,1154.98,389.40,11046.35
google/gemma-2-2b-it,138.04,0.00,1154.98,399.30,11046.38
google/gemma-2-2b-it,138.35,0.00,1154.98,389.30,11080.50
google/gemma-2-2b-it,138.65,0.00,1154.98,399.30,11080.61
google/gemma-2-2b-it,138.95,0.00,1154.98,399.40,11046.27
google/gemma-2-2b-it,139.25,0.00,1154.98,409.30,11046.34
google/gemma-2-2b-it,139.55,0.00,1154.98,399.20,11046.41
google/gemma-2-2b-it,139.85,0.00,1154.98,389.30,11078.84
google/gemma-2-2b-it,140.15,0.00,1154.98,409.30,11078.73
google/gemma-2-2b-it,140.45,0.00,1154.98,389.40,11112.97
google/gemma-2-2b-it,140.75,0.00,1154.98,399.30,11121.20
google/gemma-2-2b-it,141.06,0.00,1154.98,399.10,11078.74
google/gemma-2-2b-it,141.36,0.00,1154.98,399.30,11078.81
google/gemma-2-2b-it,141.66,0.00,1154.98,399.30,11078.88
google/gemma-2-2b-it,141.96,0.00,1154.98,399.20,11078.95
google/gemma-2-2b-it,142.26,0.00,1154.98,389.30,11078.77
google/gemma-2-2b-it,142.56,0.00,1154.98,399.30,11078.84
google/gemma-2-2b-it,142.86,0.00,1154.98,399.30,11112.96
google/gemma-2-2b-it,143.16,0.00,1154.98,389.40,11118.55
google/gemma-2-2b-it,143.46,0.00,1154.98,399.30,11078.86
google/gemma-2-2b-it,143.76,0.00,1154.98,399.40,11078.93
google/gemma-2-2b-it,144.07,0.00,1154.98,399.30,11078.75
google/gemma-2-2b-it,144.37,0.00,1154.98,409.30,11078.82
google/gemma-2-2b-it,144.67,0.00,1154.98,399.40,11078.89
google/gemma-2-2b-it,144.97,0.00,1154.98,409.30,11352.77
google/gemma-2-2b-it,145.27,0.00,1154.98,399.30,11354.64
google/gemma-2-2b-it,145.57,0.00,1154.98,399.10,11354.64
google/gemma-2-2b-it,145.87,0.00,1154.98,399.10,11354.64
google/gemma-2-2b-it,146.17,0.00,1154.98,399.10,11354.64
google/gemma-2-2b-it,146.48,0.00,1154.98,389.20,11354.64
